"Cell_ID_Myeloid","Cell_ID_T_Cell","Distance","Cell_type"
"M_61","T_5",1497.0582270073,"H+"
"M_62","T_5",1934.22391731572,"H+"
"M_63","T_5",1628.95659053967,"H+"
"M_64","T_5",1716.85579003142,"H+"
"M_65","T_5",2189.40798085455,"H+"
"M_66","T_5",1215.80793019922,"H+"
"M_67","T_5",2063.28433956482,"H+"
"M_68","T_5",1791.67839122341,"H+"
"M_69","T_5",1523.84491861078,"H+"
"M_70","T_5",1701.63835965946,"H-"
"M_71","T_5",1273.16800253428,"H+"
"M_72","T_5",1908.63333807076,"H+"
"M_73","T_5",2325.63661809557,"H-"
"M_74","T_5",2061.44891771936,"H+"
"M_75","T_5",1375.39487821456,"H+"
"M_76","T_5",1519.12124165067,"H+"
"M_77","T_5",2648.67169142019,"H+"
"M_78","T_5",1314.92212380355,"H-"
"M_79","T_5",2186.44006702616,"H+"
"M_80","T_5",1627.45782683789,"H+"
"M_81","T_5",1413.57638367969,"H+"
"M_82","T_5",1772.76600238883,"H+"
"M_83","T_5",1475.71043713886,"H+"
"M_84","T_5",2597.80072513332,"H+"
"M_85","T_5",1457.23152160281,"H+"
"M_86","T_5",1563.14715771886,"H+"
"M_87","T_5",1969.31099799259,"H+"
"M_88","T_5",2405.07856783044,"H+"
"M_89","T_5",2618.3670662008,"H-"
"M_90","T_5",2219.81922705419,"H+"
"M_91","T_5",2746.43667837623,"H+"
"M_92","T_5",1616.65564139582,"H+"
"M_93","T_5",1615.24099014428,"H-"
"M_94","T_5",2636.96741410963,"H+"
"M_95","T_5",2127.27735020123,"H+"
"M_96","T_5",1816.08347579904,"H+"
"M_97","T_5",2044.18944974942,"H+"
"M_98","T_5",2851.23484907876,"H+"
"M_99","T_5",1716.93817302178,"H+"
"M_100","T_5",1946.84305117728,"H+"
"M_101","T_5",2459.63914765223,"H+"
"M_102","T_5",1817.33474772446,"H+"
"M_103","T_5",2740.8629000192,"H+"
"M_104","T_5",2392.5190801222,"H+"
